Date,Open,High,Low,Close,Adj Close,Volume
2018-01-16,2798.959961,2807.540039,2768.639893,2776.419922,2776.419922,4325970000
2018-01-17,2784.989990,2807.040039,2778.379883,2802.560059,2802.560059,3778050000
2018-01-18,2802.399902,2805.830078,2792.560059,2798.030029,2798.030029,3681470000
2018-01-19,2802.600098,2810.330078,2798.080078,2810.300049,2810.300049,3639430000
2018-01-22,2809.159912,2833.030029,2808.120117,2832.969971,2832.969971,3471780000
2018-01-23,2835.050049,2842.239990,2830.590088,2839.129883,2839.129883,3519650000
2018-01-24,2845.419922,2852.969971,2824.810059,2837.540039,2837.540039,4014070000
2018-01-25,2846.239990,2848.560059,2830.939941,2839.250000,2839.250000,3835150000
2018-01-26,2847.479980,2872.870117,2846.179932,2872.870117,2872.870117,3443230000
2018-01-29,2867.229980,2870.620117,2851.479980,2853.530029,2853.530029,3573830000
2018-01-30,2832.739990,2837.750000,2818.270020,2822.429932,2822.429932,3990650000
2018-01-31,2832.409912,2839.260010,2813.040039,2823.810059,2823.810059,4261280000
2018-02-01,2816.449951,2835.959961,2812.699951,2821.979980,2821.979980,3938450000
2018-02-02,2808.919922,2808.919922,2759.969971,2762.129883,2762.129883,4301130000
2018-02-05,2741.060059,2763.389893,2638.169922,2648.939941,2648.939941,5283460000
2018-02-06,2614.780029,2701.040039,2593.070068,2695.139893,2695.139893,5891660000
2018-02-07,2690.949951,2727.669922,2681.330078,2681.659912,2681.659912,4626570000
2018-02-08,2685.010010,2685.270020,2580.560059,2581.000000,2581.000000,5305440000
2018-02-09,2601.780029,2638.669922,2532.689941,2619.550049,2619.550049,5680070000
2018-02-12,2636.750000,2672.610107,2622.449951,2656.000000,2656.000000,4055790000
2018-02-13,2646.270020,2668.840088,2637.080078,2662.939941,2662.939941,3472870000
2018-02-14,2651.209961,2702.100098,2648.870117,2698.629883,2698.629883,4003740000
